title,name,symbol,p,p_irr,dp,datetime
بیت کوین,Bitcoin,BTC,21191.56,"6,808,424,400",0.31%,1401/04/4 01:03
اتریوم,Ethereum,ETH,1227.58,"394,396,900",0.90%,1401/04/4 01:03
بایننس کوین,BNB,BNB,238.51,"76,628,500",0.24%,1401/04/4 01:03
تتر,Tether Avalanche Bridged (USDT.e),USDT,0.999309,"320,700",0.00%,1401/04/4 01:03
یو اس دی کوین,USD Coin Avalanche Bridged (USDC.e),USDC,1.0,"321,300",0.00%,1401/04/4 01:03
BNB,BNB,BNB,238.51,"76,628,500",0.24%,1401/04/4 01:03
ریپل,XRP,XRP,0.363553,"116,800",1.52%,1401/04/4 01:03
بایننس یو اس دی,Binance USD,BUSD,1.0,"321,300",0.02%,1401/04/4 00:52
کاردانو,Cardano,ADA,0.501736,"161,200",0.58%,1401/04/4 01:03
سولانا,Wrapped Solana,SOL,41.36,"13,288,100",1.62%,1401/04/4 01:03
کریپتو. کام کوین,Cronos,CRO,0.411701,"132,300",0.00%,1400/12/5 00:24
دوج کوین,Dogecoin,DOGE,0.067082,"21,600",0.83%,1401/04/4 01:03
هگز,HEX,HEX,0.047075,"15,100",1.98%,1401/04/4 01:01
پولکا دات,Polkadot,DOT,8.15,"2,618,400",0.62%,1401/04/4 01:03
لیدو اس تی ات,Lido Staked Ether,STETH,2943.29,"945,620,200",0.00%,1401/02/6 00:25
دای,Dai,DAI,1.0,"321,300",0.00%,1401/04/4 00:23
Wrapped TRON,Wrapped TRON,WTRX,0.064079,"20,600",0.00%,1401/04/3 00:20
ترون,TRON,TRX,0.066074,"21,200",0.08%,1401/04/4 01:03
شیبا اینو,SHIBA INU,SHIB,1e-05,3,0.00%,1401/04/4 01:03
اِرن ایکس,EarnX V2,EARNX,0.00084,300,0.00%,1400/12/19 00:24
رپد بیت کوین,Wrapped Bitcoin,WBTC,21207.07,"6,813,407,400",0.54%,1401/04/4 01:03
آوالانچ,Avalanche,AVAX,19.79,"6,358,100",2.81%,1401/04/4 01:03
یو ان یو اس سد لئو,UNUS SED LEO,LEO,5.82,"1,869,800",0.00%,1401/04/4 00:55
بیتکوین کش ای بی سی,Bitcoin Cash ABC,BCHA,114.35,"36,738,400",0.00%,1400/09/25 00:18
پالیگان,Polygon,MATIC,0.602872,"193,700",0.22%,1401/04/4 01:03
یوکَش,None,YOUC,0.50017,"160,700",0.00%,1401/04/4 01:01
Lido Staked ETH,Lido Staked Ether,STETH,1182.23,"379,826,900",1.67%,1401/04/4 01:01
یونی سواپ,Uniswap,UNI,5.48,"1,760,600",0.18%,1401/04/4 01:03
لایت کوین,Litecoin,LTC,55.69,"17,892,100",0.61%,1401/04/4 01:03
اف تی ایکس توکن,FarmaTrust,FTT,26.69,"8,575,000",0.41%,1401/04/4 01:03
چین لینک,ChainLink,LINK,7.21,"2,316,400",0.84%,1401/04/4 01:03
Cronos,Cronos,CRO,0.126317,"40,600",0.69%,1401/04/4 01:03
استلار,Stellar,XLM,0.127238,"40,900",0.47%,1401/04/4 01:03
نیر پروتکل,Near Protocol,NEAR,3.92,"1,259,400",2.08%,1401/04/4 01:03
تُنکوین,The Open Network,TONCOIN,2.22,"713,200",0.00%,1400/12/7 00:23
الگوراند,Algorand,ALGO,0.351013,"112,800",0.23%,1401/04/4 01:03
کازماز,Cosmos,ATOM,8.16,"2,621,600",0.62%,1401/04/4 01:03
مونرو,Monero,XMR,127.5,"40,963,200",0.10%,1401/04/4 01:03
بیت تورنت,BlockTrade,BTT,0.002329,700,0.00%,1401/04/4 01:03
بیت کوین کش,Bitcoin Cash,BCH,117.95,"37,895,000",0.92%,1401/04/4 01:03
اتریوم کلاسیک,Ethereum Classic,ETC,16.57,"5,323,600",0.73%,1401/04/4 01:03
بیتکوین بی ای پی 2,Bitcoin BEP2,BTCB,21242.69,"6,824,851,400",0.75%,1401/04/4 01:01
Chain,Chain,XCN,0.08815,"28,300",1.76%,1401/04/4 01:01
وی چین,VeChain,VET,0.025545,"8,200",0.61%,1401/04/4 01:03
فلو,Flow,FLOW,1.68,"539,800",1.82%,1401/04/4 01:03
دیسنترالند,Decentraland,MANA,0.924792,"297,100",0.51%,1401/04/4 01:03
هدِرا,Hedera,HBAR,0.074776,"24,000",0.99%,1401/04/4 01:03
اینترنت کامپیوتر,Internet Computer,ICP,6.12,"1,966,200",0.49%,1401/04/4 01:01
تتا,Theta Token,THETA,5.24,"1,683,500",0.00%,1400/10/15 22:17
الروند,Elrond,EGLD,62.74,"20,157,100",0.69%,1401/04/4 01:03
تتا نتورک,Theta Token,THETA,1.41,"453,000",0.71%,1401/04/4 00:52
فرکس,Frax,FRAX,0.999685,"321,200",0.22%,1401/04/4 01:01
اکسی اینفینیتی,Axie Infinity,AXS,17.04,"5,474,600",0.24%,1401/04/4 01:03
د سندباکس,The Sandbox,SAND,1.1,"353,400",0.92%,1401/04/4 01:03
فایل کوین,Filecoin,FIL,6.16,"1,979,100",0.16%,1401/04/4 01:03
هلیوم,Helium,HNT,11.37,"3,653,000",1.16%,1401/04/4 01:03
اپِلب,ApeCoin,APE,1e-06,0,0.00%,1400/10/15 22:17
تزوس,Tezos,XTZ,1.52,"488,300",2.01%,1401/04/4 01:03
Toncoin,The Open Network,TON,1.11,"356,600",0.00%,1401/04/4 00:55
ایپ کوین,ApeCoin,APE,4.52,"1,452,200",0.89%,1401/04/4 01:03
ترو یو اس دی,True USD,TUSD,0.999902,"321,200",0.01%,1401/04/4 01:03
بیت کوین اس وی,Bitcoin SV,BSV,64.25,"20,642,200",0.58%,1401/04/4 01:03
رپد ان بی ان,Wrapped BNB,WBNB,239.5,"76,946,600",1.08%,1401/04/4 01:01
کوکوین توکن,KuCoin Token,KCS,10.88,"3,495,500",0.28%,1401/04/4 01:03
میکر,Maker DAO,MKR,1046.02,"336,065,300",0.43%,1401/04/4 01:03
زد کش,Zcash,ZEC,69.61,"22,364,300",2.81%,1401/04/4 01:03
ایاس,EOS,EOS,1.0,"321,300",0.98%,1401/04/4 01:03
آوه,Aave,AAVE,68.69,"22,068,700",0.72%,1401/04/4 01:03
پکس دالر,USDP Stablecoin,USDP,1.0,"321,300",0.00%,1401/04/4 00:21
Terra Classic,Terra,LUNA,0.000132,42,0.00%,1401/03/7 00:21
میوتا,None,MIOTA,0.309011,"99,300",1.29%,1401/04/4 01:03
هوبی توکن,Huobi Token,HT,5.54,"1,779,900",0.18%,1401/04/4 01:03
ای کش,eCash,XEC,4.3e-05,14,0.00%,1401/04/4 00:20
هوبی بی تی اس,Huobi BTC,HBTC,21261.77,"6,830,981,500",0.85%,1401/04/4 01:01
BitTorrent (new),BlockTrade,BTT,1e-06,0,0.00%,1401/02/2 00:24
 د گراف,The Graph,GRT,0.115656,"37,200",0.40%,1401/04/4 01:03
نانو,Nano,NANO,4.95,"1,590,300",0.00%,1400/09/10 00:20
