id,title,text,category,summary,writer,date,tags,link
1,هشدار چین مبنی بر به صفر رسیدن ارزش بیت کوین,به گزارش به گفته‌ی اکونومیک دیلی، کشورهای غربی با ایجاد بازاری با اهرم بسیار بالا که «ظاهرا بسیار فناورانه ولی به شدت قابل دستکاری» است، با استفاده از عوامل خارج از این بازار، باعث افزایش نوسان‌های قیمت بیت‌کوین می‌شوند.به گفته‌ی این روزنامه: «بیت‌کوین چیزی نیست جز یک رشته کدهای دیجیتال و بازده‌ی سرمایه‌گذاری در آن عمدتا از خرید در کف و فروش در سقف به دست می‌آید.در آینده، زمانی که اعتماد سرمایه‌گذاران کاملا از بین برود یا کشورهای مستقل بیت کوین را غیرقانونی اعلام کنند، این ارز دیجیتال به ارزش اصلی خود باز می‌گردد - یعنی صفر.»دولت چین در جولای سال گذشته استخراج بیت کوین را ممنوع کرد. این کشور برنامه‌های بزرگی برای راه‌اندازی ارز دیجیتال بانک مرکزی خود (CBDC) به نام یوان دیجیتال چین (e-CNY) در سراسر کشور دارد. چین در سپتامبر سال گذشته، تمام تراکنش‌های مربوط به ارزهای دیجیتال را ممنوع کرد و در سال ۲۰۱۸، صرافی‌های ارز دیجیتال خارجی را نیز از فعالیت در این کشور منع کرد.البته، دولت چین تنها نهادی نیست که در مورد روند قیمت بیت کوین پیش‌بینی‌های ناامیدکننده‌ای ارئه می‌دهد.موسس و مدیر عامل شرکت تحلیل بازار به گفته‌ی وی، «چنین وضعیتی نشان می‌دهد بیت کوین، به احتمال بسیار بالا، برای رسیدن به بالاترین سطح قیمت خود به سال‌ها، و شاید هم به دهه‌ها زمان نیاز دارد.»,"
اخبار ارزهای دیجیتال
","
روزنامه‌ی دولتی چین به منظور دلسرد کردن مخاطبان‌اش از سرمایه‌گذاری در ارزهای دیجیتال، به آن‌ها هشدار داد ارزش بیت کوین به صفر خواهد رسید.
",امیر مصطفایی,پنجشنبه 2 تیر 1401 ساعت 11:10,"['\nبیت\u200cکوین\n', '\nچین\n', '\nبازار کریپتو\n', '\nبازده سرمایه گذاری\n', '\nاستخراج بیت کوین\n', '\nارز دیجیتال بانک مرکزی\n', '\nیوان دیجیتال\n', '\nاخبار ویژه\n', '\nخبر یک\n']",https://www.tgju.org/news/2441912/هشدار-چین-مبنی-بر-به-صفر-رسیدن-ارزش-بیت-کوین
2,تحلیل قیمت بیت کوین و اتریوم ,به گزارش گاوها تلاش می‌کنند شرایط قیمت بیت کوین را بهبود ببخشند، ولی سایه‌ی بلند کندل قیمت در 21 ژوئن (31 خرداد) نشان می‌دهد که خرس‌ها تمایلی به تسلیم شدن ندارند.تنها نکته‌ی مثبت برای بیت کوین این بود که گاوها در 22 ژوئن (1 تیر) در قیمت 20000 دلار شروع به خرید کردند. چنان‌چه روند قیمت از سطح کنونی به سمت بالا حرکت کند، خریداران سعی خواهند کرد قیمت بیت کوین را به بالای 22000 دلار برسانند. این می‌تواند مسیر بیت کوین را برای افزایش احتمالی قیمت تا میانگین متحرک نمایی 20 روزه (24076 دلار) هموار کند.گاوها در این سطح احتمالا با یک مقاومت قدرتمند رو‌به‌رو خواهند شد، ولی اگر بتوانند بر این مانع غلبه کنند، توقف بعدی‌شان ممکن است سطح میانگین متحرک ساده 50 روزه (28678 دلار) باشد.چنان‌چه قیمت بیت کوین کاهش یابد و به زیر 19600 دلار برسد، این پیش‌بینی صعودی بی‌اعتبار خواهد شد. در این شرایط، احتمال تست مجدد پایین‌ترین نرخ روزانه در 18 ژوئن (28 خرداد)، یعنی 17622 دلار، افزایش می‌یابد.اگر گاوها اجازه ندهند اتریوم از سطح قیمت کنونی پایین‌تر بیاید، ETH می‌تواند دوباره به سطح میانگین متحرک نمایی 20 روزه (1368 دلار) صعود کند. این سطح بسیار مهمی برای خرس‌ها است و آن‌ها در طول روندهای نزولی همیشه از سطح متحرک نمایی 20 روزه به شدت دفاع کرده‌اند.چنان‌چه قیمت از میانگین متحرک نمایی 20 روزه پایین‌تر بیاید، خرس‌ها دوباره سعی می‌کنند اتریوم را به 1000 دلار و سپس به 881 دلار برسانند. شکست قیمت به زیر این سطح می‌تواند نشانه‌ی از سرگیری روند نزولی باشد. از سوی دیگر، اگر گاوها قیمت را به بالای میانگین متحرک نمایی 20 روزه برسانند، قیمت اتریوم ممکن است تا 1700 دلار نیز افزایش یابد.,"
اخبار ارزهای دیجیتال
","
بیت کوین و آلتکوین‌های برتر تلاش می‌کنند تا روند کنونی را معکوس کنند، ولی فروش گسترده‌ی این ارزهای دیجیتال نشان می‌دهد خرس‌ها کنترل بازار را در دست دارند.
 ",امیر مصطفایی,پنجشنبه 2 تیر 1401 ساعت 10:11,"['\nبیت\u200cکوین\n', '\nاتریوم\n', '\nکندل\n', '\nمیانگین متحرک نمایی\n', '\nمقاومت\n', '\nبازارهای مشتقه\n', '\nاخبار ویژه\n', '\nتحلیل تکنیکال\n']",https://www.tgju.org/news/2441903/تحلیل-قیمت-بیت-کوین-و-اتریوم-3
3,بانک مرکزی قطر، در مراحل اولیه راه‌اندازی ارز دیجیتال ,به گزارش شیخ بندر بن محمد بن سعود آل ثانی، رئیس بانک مرکزی قطر، روز سه‌شنبه در جریان جلسه‌ای در مجمع اقتصادی قطر، اعلام کرد که این بانک در تلاش است تا روش‌هایی فناورانه‌ای را برای راه‌اندازی ارز دیجیتال بانک مرکزی (CBDC) پیدا کند. آل ثانی تصریح کرد، در حال حاضر این پروژه در مراحل اولیه‌ی خود قرار دارد.وی گفت: «بسیاری از بانک‌های مرکزی اکنون در حال انتشار ارز دیجیتال خود هستند و ما نیز از این امر مستثنی نخواهیم بود. ولی ما هنوز در مرحله اولیه قرار داریم. ما در حال ارزیابی مزایا و معایب استفاده از ارز دیجیتال بانک مرکزی و یافتن فناوری و بستر مناسبی برای انتشار آن هستیم.»وی افزود: «در حال حاضر، ارزهای دیجیتال یک نوآوری در فناوری هستند. این نوآوری فناورانه ما را به عصر جدیدی از خدمات مالی سریع، ارزان و در دسترس خواهد برد. با وجود این، آن دسته از دارایی‌های کریپتو که تحت نظارت مقامات پولی قرار نمی‌گیرند، ممکن است اعتبار کم‌تری داشته باشند.»نخستین گزارش‌ها در مورد بررسی امکان راه‌اندازی ارز دیجیتال توسط بانک مرکزی قطر در مارس 2022 منتشر شدند. در آن زمان، رئیس بخش فین‌تک (فناوری مالی) در بانک مرکزی قطر، اعلام کرد که این بانک هم‌سو با روند جهانی در حال تحقیق در مورد این مفهوم است.در حال حاضر، بیش از 100 کشور در سطح جهان علاقه‌ی خود را برای تحقیق و توسعه در خصوص ارز دیجیتال بانک مرکزی ابراز کرده‌اند و/یا راه‌اندازی آن را شروع کرده‌اند. رقیب اصلی قطر در منطقه خلیج فارس، امارات متحده عربی است که حرکت خود را برای راه‌اندازی ارز دیجیتال بانک مرکزی به عنوان بخشی از استراتژی فناوری 2023-2026 در سال 2021 آغاز کرد.در همان سال، امارات متحده‌ی عربی از پروژه‌ی مشترک پرداخت‌ با ارز دیجیتال بانک مرکزی برون مرزی با بانک‌های مرکزی تایلند، هنگ کنگ و چین و هم‌چنین بانک تسویه حساب‌های بین‌المللی خبر داد.,"
اخبار ارزهای دیجیتال
","
بانک مرکزی قطر در حال بررسی روش‌های فناورانه و پلتفرم‌های مخصوص برای راه‌اندازی ارز دیجیتال اختصاصی خود است.
",امیر مصطفایی,چهارشنبه 1 تیر 1401 ساعت 16:52,"['\nبانک مرکزی قطر\n', '\n ارزدیجیتال بانک مرکزی\n', '\nفناوری\n', '\nامارات متحده عربی\n', '\nکریپتو\n', '\nتایلند\n', '\nچین\n', '\nاخبار ویژه\n']",https://www.tgju.org/news/2441819/بانک-مرکزی-قطر-در-مراحل-اولیه-راه-اندازی-ارز-دیجیتال
4,گاز طبیعی و این همه نوسان؟,به گزارش معاملات آتی معیار پس از افت 2 درصدی، 1.2 درصد افزایش یافت. قیمت‌ها همچنان حدود هشت برابر میانگین فصلی است و باعث کاهش مصرف صنعت می‌شود. سیتی گروپ اعلام کرد، در بریتانیا، مصرف گاز صنعتی در سال جاری حدود 49 درصد کاهش یافته است که تقریباً برابر با تقاضای قبل از همه‌گیری است.قیمت‌ها پس از افت شدید در هفته گذشته که روسیه فشار بیشتری بر جریان گاز به این قاره اعمال کرد، ثابت ماند؛ اقدامی که برخی کشورها را بر آن داشت تا برای تولید برق به زغال‌سنگ متوسل شوند. ایتالیا، یکی از بزرگترین خریداران گاز روسیه، به طور موقت تولید زغال‌سنگ را افزایش می‌دهد و به کشورهایی مانند آلمان، اتریش و هلند می‌پیوندد تا نیروگاه‌های برق را احیا کند یا محدودیت‌های سوخت کثیف‌تر را حذف کند.محموله‌های گازپروم PJSC (MCX:GAZP) از طریق نورد استریم - بزرگترین خط لوله به اتحادیه اروپا - در حدود 40 درصد ظرفیت باقی می‌ماند و باعث کاهش عرضه به خریداران در آلمان، فرانسه، ایتالیا و برخی از کشورها می شود.کانادا، جایی که توربین نورد استریم برای تعمیر متوقف شده است، در حال مذاکره با آلمان در مورد چگونگی احترام به تحریم‌های اعمال‌شده علیه روسیه، بدون آسیب رساندن به متحد خود است. این توربین‌ها در کانادا تولید شده‌اند و باید به طور مرتب توسط شرکت زیمنس انرژی آلمان برای تعمیر و نگهداری به آنجا فرستاده شوند.معاملات آتی گاز ماه اول هلند، معیار اروپایی، با 1.2 درصد افزایش به 127 یورو در هر مگاوات ساعت در ساعت 9:09 صبح در آمستردام رسید. آن معاملات در روز سه شنبه 4.1 درصد افزایش یافتند.,"
اخبار طلا و سکه
","
از آنجا که معامله‌گران در حال ارزیابی علائمی برای مهار کاهش عرضه روسیه هستند، قیمت گاز طبیعی بین سود و زیان در نوسان است.
",معصومه دانش,چهارشنبه 1 تیر 1401 ساعت 16:34,"['\nگاز طبیعی\n', '\nهزینه بالای سوخت\n', '\nمعاملات آتی گاز طبیعی\n', '\nبحران روسیه و اوکراین\n', '\nزغال\u200cسنگ\n', '\nگازپروم\n', '\nنورداستریم\n', '\nتحریم روسیه\n', '\nاخبار ویژه\n']",https://www.tgju.org/news/2441814/گاز-طبیعی-و-این-همه-نوسان
5,تتر به دنبال راه‌اندازی استیبل‌کوین با پشتوانه پوند انگلیس,به گزارش استیبل کوین‌ها ارزهای دیجیتالی هستند که هدف از طراحی آن‌ها، ثابت ماندن ارزش‌شان در برابر ارزهای سنتی یا کالاهایی مانند طلا است. این نوع از ارزهای دیجیتال تلاش می‌کند از نوسان‌های بازار کریپتو در امان بماند - نوسان‌هایی که استفاده از بیت کوین و سایر توکن‌های دیجیتال را برای انجام بیش‌تر معاملات غیرممکن کرده‌اند.بازار کریپتو در ماه گذشته شاهد یک اتفاق بزرگ و تلخ بود؛ ارزش ترا یو‌اس‌دی، استیبل کوینی که برای ثابت ماندن ارزش خود از الگوریتم پیچیده‌ای بهره می‌برد، به طور کامل سقوط کرد. این اتفاق اهمیت استیبل کوین‌ها را در دنیای تجارت کریپتو بیش از پیش در کانون توجه قرار داد.استیبل کوین این استیبل کوین به عنوان یک واسطه‌ی مهم برای جابه‌جایی وجوه بین ارزهای دیجیتال و پول نقد کاربرد دارد. ارزش این توکن توسط دلار، اوراق قرضه‌ی دولت و اوراق قرضه‌ی کوتاه مدت (از طرف شرکت‌های مختلف) پشتیبانی می‌شود.سقوط استیبل کوین ترا یو‌اس‌دی باعث افزایش فشار فروش در بازار ارزهای دیجیتال شد؛ تتر پیوند 1:1 خود را با دلار از دست داد، و این مسئله باور و ایمان سرمایه‌گذاران را به یک تکیه‌گاه مهم در اقتصاد کریپتو متزلزل کرد.بریتانیا قصد دارد با وضع قوانین جدید، برخی از استیبل کوین‌ها را تحت نظارت قانونی خود قرار دهد؛ هدف از این اقدام بهره‌برداری از پتانسیل بالای فناوری کریپتو و بلاک چین برای کمک به مصرف‌کنندگان و بهبود فرایند پرداخت است.این کشور در ماه می اعلام کرد، قوانین موجود را برای مقابله با سقوط‌ استیبل کوین‌ها به‌روزرسانی خواهد کرد.پائولو آردوینو، مدیر ارشد فناوری تتر در بیانیه‌ای گفت: «از نظر ما بریتانیا کانون بعدی نوآوری‌های بلاک چین و اجرای گسترده‌‌ی پروژه‌های ارزهای دیجیتال برای بازارهای مالی خواهد بود.» وی افزود، این شرکت با نهادهای نظارتی بریتانیا همکاری خواهد کرد.وزارت دارایی بریتانیا در مورد صحبت‌های پائولو آردوینو اظهارنظر نکرده است.تتر علاوه بر راه‌اندازی استیبل کوین با پشتوانه دلار، توکن‌های متصل به یورو، یوان چین و پزو مکزیک را نیز ارائه می‌کند.,"
اخبار ارزهای دیجیتال
","
شرکت تتر قصد دارد استیبل کوینی متصل با پوند انگلیس راه‌اندازی کند.
",امیر مصطفایی,چهارشنبه 1 تیر 1401 ساعت 15:19,"['\nتتر\n', '\nاستیبل کوین\n', '\nپوند انگلیس\n ', '\nترا یو اس دی\n', '\nکریپتو\n', '\nارز دیجیتال\n', '\nدلار امریکا\n', '\nیوان چین\n', '\nاخبار ویژه\n', '\nخبر دو\n']",https://www.tgju.org/news/2441796/تتر-به-دنبال-راه-اندازی-استیبل-کوین-با-پشتوانه-پوند-انگلیس
6,این طلاست، سنگ که نیست!,به گزارش گرچه طلا تا این میزان کاهش یافته است، با این حال، اقتصاددانان در Commerzbank انتظار دارند که فلز زرد بالاتر از سطح 1800 دلار باقی بماند.طلا در هفته‌های اخیر مکرراً نتوانسته است به محبوبیت خود به عنوان یک پناهگاه امن عمل کند، علی‌رغم ترس از رکود که در پس کاهش قیمت‌ها به دلیل چرخه‌ کالاها بوده است.طی چند هفته گذشته، افزایش علاقه خرید در قیمت‌هایی که دقیقاً بالاتر از مرز 1800 دلار بود، مشاهده شد که مانع از سقوط قیمت طلا به زیر این آستانه شد. ما انتظار داریم این بار نیز تقریباً همین اتفاق بیفتد و کاهش محسوس بیشتری را در قیمت طلا متصور نیستیم.تورم موضوع اصلی امروز در شهادت پاول رئیس فدرال رزرو در مقابل کمیته بانکداری سنای آمریکا خواهد بود. اگر بازار چیز جدیدی از این شهادت بیاموزد، این احتمالاً از طریق حرکت در به نظر می‌رسد سرمایه‌گذاران متقاعد شده‌اند که فدرال رزرو موضع سختگیرانه خود را حفظ خواهد کرد و نرخ‌های بهره را با سرعت بیشتری برای مهار تورم فزاینده افزایش خواهد داد. در واقع، بازارها در نشست بعدی FOMC در ماه ژوئیه، 75 واحد بر ثانیه افزایش نرخ بهره را افزایش دادند. انتظارات هاوکیش فدرال رزرو مقداری حمایت از دلار آمریکا را افزایش داد که به نوبه خود تقاضا برای طلای دلاری را تضعیف کرد. به نظر می‌رسید که گاوها تحت تأثیر خلق و خوی رایج عدم ریسک قرار نگرفته باشند، که به نفع XAU/USD پناهگاه امن است.در میان تردیدها مبنی بر اینکه بانک‌های مرکزی بزرگ می‌توانند نرخ‌های بهره را برای مهار تورم فزاینده بدون تأثیر بر رشد اقتصادی افزایش دهند، احساسات بازار همچنان شکننده است. این امر، همراه با اختلالات زنجیره تامین جهانی ناشی از بحران روسیه و اوکراین و شیوع اخیر کووید-19 در چین، به تشدید ترس از رکود دامن زد. بدترشدن چشم‌انداز اقتصاد جهانی بر احساسات سرمایه‌گذاران تأثیر گذاشت که موج جدیدی از تجارت جهانی ریسک‌گریزی را به همراه داشت و منجر به سقوط شدید در بازارهای سهام شد.,"
اخبار طلا و سکه
","
طلا در روزهای اخیر نتوانست به محبوبیت خود به عنوان پناهگاه امن وفادار بماند و امروز در پائین‌ترین سطح چهار روز اخیر بود.
",معصومه دانش,چهارشنبه 1 تیر 1401 ساعت 14:23,"['\nمعاملات اروپا\n', '\nپناهگاه امن\n', '\nکاهش محسوس\n', '\nدلار آمریکا\n', '\nفدرال رزرو\n', '\nبحران روسیه و اوکراین\n', '\nکووید 19\n', '\nریسک\u200cگریزی\n', '\nبازارهای سهام\n', '\nطلای بدون بازده\n', '\nتورم\n', '\nاقتصاد جهانی\n', '\nاخبار ویژه\n']",https://www.tgju.org/news/2441780/این-طلاست-سنگ-که-نیست
7,تابستان دوج کوین در پیش است,به گزارش با نگاهی به هفته‌ی سوم معاملات در ماه ژوئن در می‌یابیم که معامله‌گران و سرمایه‌گذاران می‌توانند به آینده‌ی قیمت دوج کوین (DOGE) خوش‌بین باشند. این میم کوین در 10 ژوئن (20 خرداد)، کانال روند موج الیوت را که پیش‌تر نقض کرده بود، مجددا تا سطح 0.05 دلار تست کرد. این اتفاق با حرکت جانبی قابل‌توجه قیمت در این ناحیه همراه بود.سپس گاوها (معامله‌گرانی که به دنبال افزایش قیمت‌ها هستند) در روز سه‌شنبه، 21 ژوئن (31 خرداد)، یک جهش قیمت را در بالای منطقه‌ی تثبیت ایجاد کردند - این سطح قیمت برای معامله‌گرانی که مایل به پذیرش ریسک هستند، می‌تواند به عنوان قیمت ورود به معامله تلقی شود.با بررسی کلی وضعیت، به نظر می‌رسد قیمت دوج کوین در آینده‌ی نزدیک به 1.00 دلار برسد. این پیش‌بینی از طریق کاهش حجم معاملات، ایجاد یک واگرایی آشکار در شاخص قدرت نسبی (RSI) و نقض کانال روند تایید می‌شود.متخصصان موج الیوت معتقدند، رفتار قیمت از لحاظ زمان و مومنتوم (یا هر دو) در موج پنجم معمولا تکرار رفتار قیمت در موج اول است. اگر این مسئله برای قیمت دوج کوین (DOGE) صادق باشد، این میم کوین محبوب تا اکتبر (مهر) امسال می‌تواند به 1.00 دلار برسد.با این‌که همه چیز برای دوج کوین خوش‌بینانه به نظر می‌رسد، هنوز این احتمال وجود دارد که قیمت این میم کوین به سطوح پایین‌تری نظیر سطح قیمت 0.02 دلار سقوط کند.اعتبار این پیش‌بینی‌ها به این مسئله بستگی دارد که آیا قیمت دوج کوین (DOGE) به 0.00560 دلار می‌رسد یا خیر. اگر سطح قیمت در موج اول نقض شود، کل این پیش‌بینی بی‌اعتبار خواهد شد.,"
اخبار ارزهای دیجیتال
","
دوج کوین در ماه‌های آینده می‌تواند عملکرد بسیار خوبی داشته باشد و به عنوان یکی از بهترین ارزهای دیجیتال بازار کریپتو شناخته شود.
",امیر مصطفایی,چهارشنبه 1 تیر 1401 ساعت 14:21,"['\nدوج کوین\n', '\nمیم کوین\n', '\nارزهای دیجیتال\n', '\nموج الیوت\n', '\nحجم معاملات\n', '\nمومنتوم\n', '\nشاخص قدرت نسبی\n', '\nاخبار ویژه\n', '\nتحلیل تکنیکال\n']",https://www.tgju.org/news/2441779/تابستان-دوج-کوین-در-پیش-است
8,طلا، آماج کم‌لطفی‌ها,به گزارش در همین حال، جو بهتر بازار بر کمبود تقاضا برای فلز امن افزود. سهام موفق شدند در آسیا و اروپا رشد کمی داشته باشند، در حالی که شاخص‌های ایالات متحده به شدت افزایش یافته‌اند. به نظر می‌رسد با وجود ثابت‌ماندن سناریوی اقتصادی، ترس از رکود در حال حاضر کاهش یافته است. اعتماد بازارها پس از آن بهبود یافت که جو بایدن، رئیس جمهور ایالات متحده، با اشاره به انتقال به استفاده از وسایل نقلیه الکتریکی و انرژی‌های تجدیدپذیر، گفت که کشور می‌تواند از رکود جلوگیری کند، اما تاکید کرد که کشور بر تورم فعلی غلبه خواهد کرد.قیمت طلا از ابتدای هفته تاکنون برای مسیریابی تلاش کرده است. با این وجود، بر اساس خوانش‌های فنی در نمودار روزانه، ریسک به سمت نزولی منحرف می‌شود. فروشندگان همچنان پیشرفت‌های حول 200 SMA را که در حال حاضر 1.843.50 دلار است، رد می‌کنند، در حالی که SMA 20 کمی بالاتر از آن کاهش یافته است. در این میان، شاخص‌های فنی، هرچند در سطوح منفی بدون جهت باقی می‌مانند.نمودار 4 ساعته نشان می‌دهد که این جفت در زیر تمام میانگین‌های متحرک خود باقی می‌ماند، در حالی که اندیکاتورهای فنی به میزان اندکی در سطوح منفی پایین‌تر هستند، اگرچه قدرت کافی برای تأیید ادامه نزولی در کوتاه‌مدت ندارند. به طور کلی، این ریسک به سمت نزول منحرف شده است، با این حال یک شکست جهت‌دار در کوتاه‌مدت بعید به نظر می‌رسد.,"
اخبار طلا و سکه
","
به دلیل جو بهتر بازار سهام تقاضا برای طلا کاهش یافت و از این رو، فلز زرد امروز با کاهش نسبی در حدود 1835 دلار معامله شد.
",معصومه دانش,چهارشنبه 1 تیر 1401 ساعت 13:50,"['\nکمبود تقاضا\n', '\nسناریوی اقتصادی\n', '\nترس از رکود\n', '\nرکود\n', '\nتورم\n', '\nریسک نزولی\n', '\nمیانگین متحرک\n', '\nشکست جهت\u200cدار\n', '\nانرژی تجدیدپذیر\n', '\nشاخص فنی\n', '\nاخبار ویژه\n', '\nتحلیل بنیادین\n', '\nخبر دو\n']",https://www.tgju.org/news/2441774/طلا-آماج-کم-لطفی-ها
9,تحلیل و پیش‌بینی قیمت ریپل,به گزارش سطوح حمایت ریپل عبارت هستند از 0.3196 دلار (حمایت اول)، 0.3098 دلار (حمایت دوم) و 0.3009 دلار. از سویی دیگر، سطوح مقاومت ریپل نیز عبارت هستند از 0.3383 دلار (مقاومت اول)، 0.3472 دلار (مقاومت دوم) و 0.357 دلار (مقاومت سوم).در نمودار 4 ساعته‌، قیمت ریپل بین خطوط میانگین متحرک 20 روزه و میانگین متحرک 9 روزه قرار دارد. خط میانگین متحرک 20 روزه به عنوان سطح حمایت قیمت ریپل عمل می‌کند.میانگین متحرک 9 روزه در بالای خط میانگین متحرک 20 روزه قرار گرفته است؛ با توجه به این‌که این وضعیت در نمودار 4 ساعته ایجاد شده است، می‌توان یک دوره‌ی صعودی کوتاه‌مدت را پیش‌بینی کرد. با این حال، خط میانگین متحرک 20 روزه در حال پر کردن شکافی است که بین خود و خط میانگین متحرک 9 روزه وجود دارد؛ در صورت عبور این دو خط از هم، یک سیگنال نزولی ایجاد می‌شود.به علاوه، شاخص قدرت نسبی (RSI) در زیر خط RSI SMA و بین ناحیه‌ی اشباع خرید و اشباع فروش قرار دارد - ولی به ناحیه‌ی اشباع فروش نزدیک‌تر است.هم‌چنین، ریپل در حال حاضر، در یک کانال قیمت قرار گرفته که حد پایین آن 0.3150 دلار و حد بالایی آن 0.3359 دلار است. چنان‌چه خط میانگین متحرک 20 روزه نتواند حمایت خود را از قیمت ریپل حفظ کند، قیمت این ارز دیجیتال می‌تواند به باند پایینی این کانال سقوط کند. اگر این اتفاق بیفتد، قیمت ریپل حدود 1.7 درصد نسبت به قیمت فعلی کاهش خواهد یافت.با توجه تحلیل‌های بالا، احتمالا در 48 ساعت آینده شاهد کاهش قیمت ریپل خواهیم بود. البته یادآوری می‌کنیم که تایید صحت این پیش‌بینی هنگامی است که قیمت ریپل به 0.31715 دلار برسد.,"
اخبار ارزهای دیجیتال
","
اگر سطح حمایت در میانگین متحرک 20 روزه در نمودار 4 ساعته حفظ نشود، قیمت ریپل در 48 آینده ممکن است کاهش یابد.
",امیر مصطفایی,چهارشنبه 1 تیر 1401 ساعت 13:24,"['\nریپل\n', '\nحمایت\n', '\nمقاومت\n', '\nمیانگین متحرک\n', '\nاشباع خرید\n', '\nفروش اشباع\n', '\nشاخص قدرت نسبی\n', '\nاخبار ویژه\n', '\nتحلیل تکنیکال\n']",https://www.tgju.org/news/2441771/تحلیل-و-پیش-بینی-قیمت-ریپل
10,افزایش 300 درصدی توکن سلسیوس در یک هفته,به گزارش این جهش صعودی پس از آن آغاز شد که تحلیلگر مستقلی با نام مستعار PlanC اعلام کرد، به هر فردی که ثابت کند شبکه‌ی سلسیوس توسط یک شخص ثالث مورد حمله قرار گرفته - که متعاقبا باعث به تعلیق درآمدن برداشت‌ها و نقل‌وانتقالات در این شبکه شده است - 20 میلیون دلار جایزه می‌دهد.این مسئله باعث ایجاد جنجالی در توییتر شد و بسیاری از حساب‌های کاربری، هشتگ #CelShortSqueeze (شورت اسکوییز سلسیوس) را در بیوی خود قرار دادند؛ آن‌ها قصد داشتند سرمایه‌گذارانی را که معتقد به سقوط قیمت سلسیوس بودند، تحت فشار قرار دهند. شورت اسکوییز (فشار فروش استقراضی) هنگامی اتفاق می‌افتد که قیمت یک دارایی به شدت افزایش می‌یابد و معامله‌گرانی که با پیش‌بینی کاهش قیمت، وارد پوزیشن شورت شده‌اند، به شدت تحت فشار قرار می‌گیرند.این هشتگ توییتری در ایالات متحده روند بالاتری داشت. بر اساس داده‌های گوگل ترندز، جستجوهای اینترنتی برای کلیدواژه‌ی «CEL short squeeze» نیز بین 12 تا 18 ژوئن به شدت افزایش یافتند.ترند شدن این هشتگ و کلیدواژه باعث شد معامله‌گران به طور گسترده شروع به خریداری توکن‌های سلسیوس (CEL) کنند و قیمت آن را به شدت افزایش دهند.بنابراین، سرمایه‌گذارانی که «وارد پوزیشن شورت» شده بودند، یعنی آن‌هایی که توکن را به‌ منظور خرید مجدد آن با قیمت پایین‌تر قرض گرفته و به فروش رسانده بودند، مجبور شدند آن را مجددا با قیمت بالاتر بخرند تا پوزیشن‌های نزولی خود را «پوشش دهند».ولی با وجود افزایش قیمت چشمگیر توکن سلسیوس، این شرکت که سال گذشته بیش از 20 میلیارد دلار دارایی دیجیتال را تحت مدیریت داشت، اکنون در معرض خطر ورشگستگی قرار گرفته است. دلیل این مسئله نیز ناتوانی این شرکت در پرداخت سود بسیار بالایی است (تا 18٪) که باید به مشتریان سپرده‌گذار خود پرداخت کند.از طرفی دیگر، با این‌که یک بریک‌اوت موفقیت‌آمیز می‌تواند توکن سلسیوس (CEL) را به تست 3.11 دلار هدایت کند، یک پولبک نیز به طور بالقوه می‌تواند قیمت آن را به سمت 0.34 دلار، یعنی حمایت محدوده فعلی - 73 درصد پایین‌تر از قیمت 21 ژوئن - کاهش دهد.,"
اخبار ارزهای دیجیتال
","
قیمت توکن سلسیوس، از 19 ژوئن تقریبا چهار برابر شده است؛ دلیل آن، شور و هیجانی بود که توسط معامله‌گران به پا شد. ولی این توکن هنوز در معرض خطر است.
",امیر مصطفایی,چهارشنبه 1 تیر 1401 ساعت 12:45,"['\nشبکه سلسیوس\n', '\nبازارهای کریپتو\n', '\nتوییتر\n', '\nشورت اسکوییز\n', '\nپوزیشن شورت\n', '\nپولبک\n', '\nتوکن\n', '\nاخبار ویژه\n', '\nخبر دو\n']",https://www.tgju.org/news/2441763/افزایش-300-درصدی-توکن-سلسیوس-در-یک-هفته
